last_name, first_name,player_id,year,player_age,b_ab,b_total_hits,b_home_run,b_bb_percent,batting_avg,on_base_percent,on_base_plus_slg,b_rbi,b_game,r_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Anderson, Brian,605119,2023,30,39,11,3,16.7,.282,.396,.934,10,13,9,90.4,8.6,33.3,22.2,
Bell, Josh,605137,2023,30,46,5,0,16.1,.109,.250,.380,4,12,2,87.8,-4.8,9.1,0,
Betts, Mookie,605141,2023,30,48,13,2,18.3,.271,.417,.917,5,13,12,91.6,11.4,44.4,11.1,
Arcia, Orlando,606115,2023,28,45,15,2,8.0,.333,.400,.911,7,13,10,91,3.5,22.9,8.6,
Hernandez, Teoscar,606192,2023,30,51,11,3,1.8,.216,.273,.704,8,13,4,90.7,13.2,36.1,13.9,
Marte, Ketel,606466,2023,29,48,11,1,3.9,.229,.275,.691,2,12,9,92.2,8.1,22,7.3,
Nimmo, Brandon,607043,2023,30,37,9,0,23.5,.243,.431,.729,5,12,6,88.6,1.9,26.5,0,
Peterson, Jace,607054,2023,33,38,9,1,7.1,.237,.286,.654,7,12,4,84.9,12.6,36.7,3.3,
Turner, Trea,607208,2023,30,57,18,0,5.0,.316,.350,.771,3,13,8,87.8,20.2,38.6,2.3,
Ramirez, Jose,608070,2023,30,51,15,0,14.8,.294,.393,.844,6,13,7,87.2,15.8,25.5,2.1,
Bregman, Alex,608324,2023,29,51,10,2,16.1,.196,.339,.672,6,13,10,89.8,20.6,41.5,7.3,
Seager, Corey,608369,2023,29,39,14,1,18.4,.359,.469,1.008,4,11,7,95.2,8.1,36.4,18.2,
Meneses, Joey,608841,2023,31,49,11,0,7.5,.224,.283,.589,2,12,4,89.4,8.1,43.2,13.5,
Swanson, Dansby,621020,2023,29,40,16,0,11.1,.400,.467,.917,5,10,10,90.9,3.9,31.3,15.6,
Correa, Carlos,621043,2023,28,36,8,1,10.0,.222,.300,.661,3,9,4,91.1,23.8,34.6,15.4,
Buxton, Byron,621439,2023,29,45,13,2,8.2,.289,.347,.836,5,12,9,90.3,20.5,43.3,16.7,
Ward, Taylor,621493,2023,29,48,14,2,12.5,.292,.393,.830,6,12,10,88.7,11.6,40.5,5.4,
Olson, Matt,621566,2023,29,51,15,4,16.4,.294,.410,1.037,12,13,9,96.3,5.2,41.4,27.6,
Mateo, Jorge,622761,2023,28,35,10,2,7.3,.286,.341,.827,8,11,9,88.7,7.4,17.9,7.1,
