Names,Players,Year,Month,Day,Age_2008
M Muralitharan,Bowler,1972,April,17,36
M Ntini,Bowler,1977,July,6,31
M Pathirana,Bowler,2002,December,18,6
M Prasidh Krishna,Bowler,1996,February,19,12
M Rawat,Batter,1985,October,25,23
M Shahrukh Khan,Batter,1995,May,27,13
M Theekshana,Bowler,2000,August,1,8
M Vijay,Batter,1984,April,1,24
M Vohra,Batter,1993,July,18,15
MA Agarwal,Batter,1991,February,16,17
MA Khote,Bowler,1980,April,22,28
MA Starc,Bowler,1990,January,30,18
MA Wood,Bowler,1990,January,11,18
Mandeep Singh,All_Rounder,1991,December,18,17
Mashrafe Mortaza,Bowler,1983,October,5,25
MB Parmar,Bowler,1988,April,12,20
MC Henriques,All_Rounder,1987,February,1,21
MC Juneja,Batter,1990,September,12,18
MD Mishra,Batter,1984,February,9,24
MDKJ Perera,Batter,1990,August,17,18
MEK Hussey,Batter,1975,May,27,33
MF Maharoof,All_Rounder,1984,September,7,24
MG Johnson,Bowler,1981,November,2,27
MG Neser,Bowler,1990,March,29,18
Misbah-ul-Haq,Batter,1974,May,28,34
MJ Clarke,All_Rounder,1981,April,2,27
MJ Guptill,Batter,1986,September,30,22
MJ Lumb,Batter,1980,February,12,28
MJ Henry,Bowler,1991,December,14,17
MJ McClenaghan,Bowler,1986,June,11,22
MJ Santner,Bowler,1992,February,5,16
MK Lomror,All_Rounder,1999,November,16,9
MK Pandey,Batter,1989,September,10,19
MK Tiwary,Batter,1985,November,14,23
ML Hayden,Batter,1971,October,29,37
MM Ali,All_Rounder,1987,June,18,21
MM Patel,Bowler,1983,July,12,25
MM Sharma,Bowler,1988,September,18,20
MN Samuels,All_Rounder,1981,February,5,27
MN van Wyk,Batter,1979,March,20,29
Mohammad Ashraful,Batter,1984,July,7,24
Mohammad Asif,Bowler,1982,December,20,26
Mohammad Hafeez,Batter,1980,October,17,28
Mohammad Nabi,All_Rounder,1985,January,1,23
Mohammed Shami,Bowler,1990,September,3,18
Mohammed Siraj,Bowler,1994,March,13,14
Mohsin Khan(2),Bowler,1998,July ,15,10
MP Stoinis,All_Rounder,1989,August,16,19
MR Marsh,All_Rounder,1991,October,20,17
MS Bisla,Batter,1984,December,27,24
MS Dhoni,Batter,1981,july,7,27
MS Gony,All_Rounder,1984,January,4,24
MS Wade,Batter,1987,December,26,21
Mujeeb Ur Rahman,Bowler,2001,March ,28,7
Mukesh Choudhary,Bowler,1996,July,6,12
Mustafizur Rahman,Bowler,1995,September,6,13
MV Boucher,Batter,1976,December,3,32
N Jagadeesan,Batter,1995,December,24,13
N Pooran,Batter,1995,October,2,13
N Rana,Batter,1993,December,27,15
N Saini,Bowler,1992,November,23,16
NA Saini,Bowler,1992,November,23,16
NB Singh,Bowler,1995,September,8,13
ND Doshi,Bowler,1978,October,6,30
Niraj Patel,Batter,1981,March,26,27
NJ Maddinson,Batter,1991,December,21,17
NJ Rimmington,Bowler,1982,November,11,26
NL McCullum,Batter,1981,September,27,27
NLTC Perera,All_Rounder,1989,April,3,19
NM Coulter-Nile,All_Rounder,1987,October,11,21
NS Naik,Batter,1994,November,9,14
NT Ellis,Bowler,1994,September,22,14
NV Ojha,Batter,1983,July,20,25
O Thomas,Bowler,1997,February,18,11
OA Shah,Batter,1978,October,22,30
OC McCoy,Bowler,1997,January,4,11
OF Smith,Bowler,1989,June,2,19
P Amarnath,Bowler,1982,June,1,26
P Awana,Bowler,1986,July,19,22
P Chopra,Batter,1992,October,7,16
P Dogra,Batter,1984,November,19,24
P Kumar,Bowler,1986,October,2,22
P Negi,Bowler,1993,January,6,15
P Parameswaran,Bowler,1985,May,30,23
P Prasanth,Bowler,1985,May,22,23
P Ray Barman,Bowler,2002,October,5,6
P Sahu,Batter,1985,August,21,23
P Simran Singh,Batter,2000,August,10,8
P Suyal,Bowler,1989,October,15,19
PA Patel,Batter,1985,March,9,23
PA Reddy,Batter,1991,February,11,17
Pankaj Singh,Bowler,1985,May,6,23
Parvez Rasool,All_Rounder,1989,February,13,19
PBB Rajapaksa,Batter,1991,October,4,17
PC Valthaty,Batter,1983,December,7,25
PD Collingwood,All_Rounder,1976,May ,26,32
PC Solanki,Bowler,2000,February,22,8
PJ Cummins,All_Rounder,1993,May,8,15
PJ Sangwan,Bowler,1990,November,5,18
PK Garg,Batter,2000,November,30,8
PM Sarvesh Kumar,Bowler,1989,April,26,19
PN Mankad,Batter,1994,April,23,14
PP Chawla,Bowler,1988,December,24,20
PP Ojha,Bowler,1986,September,5,22
PP Shaw,Batter,1999,November,9,9
PR Shah,Batter,1987,November,3,21
PSP Handscomb,Batter,1991,April,26,17
PV Tambe,Bowler,1971,October,8,37
PVD Chameera,Bowler,1992,January,11,16
PWH de Silva,All_Rounder,1997,July,29,11
Q de Kock,Batter,1992,December,17,16
R Ashwin,All_Rounder,1986,September,17,22
R Bhatia,All_Rounder,1988,November,24,20
R Bishnoi,Bowler,2000,September,5,8
R Dhawan,All_Rounder,1990,February,19,18
R Dravid,Batter,1973,January,11,35
R McLaren,All_Rounder,1971,December,1,37
R Ninan,All_Rounder,1985,November,19,23
R Parag,Batter,2001,November,10,7
R Powell,All_Rounder,1993,July,23,15
R Rampaul,All_Rounder,1984,October,15,24
R Sai kishore,Bowler,1996,November,6,12
R Sanjay Yadav,Batter,1995,May ,10,13
R Sathish,All_Rounder,1981,January,14,27
R Sharma,Batter,1987,April,30,21
R Shepherd,All_Rounder,1994,November,26,14
R Shukla,Bowler,1990,August,28,18
R Tewatia,Batter,1993,May,20,15
R Vinay Kumar,Batter,1984,February,12,24
RA Bawa,All_Rounder,2002,November,12,6
RA Jadeja,All_Rounder,1988,December,6,20
RA Shaikh,Bowler,1981,December,1,27
RA Tripathi,Batter,1991,March,2,17
Ramandeep Singh,Batter,1997,April,13,11
Rashid Khan,Bowler,1998,September,20,10
Rasikh Salam,Bowler,2000,April,5,8
